2025-04-16 13:15:38.078 INFO  [19936] [InitLog@251] -------------------------------- create a new logger!
2025-04-16 13:15:38.079 INFO  [19936] [InitLog@252] processName = CefSharp.BrowserSubprocess
2025-04-16 13:15:38.079 INFO  [19936] [InitLog@269] -------------------------------- InitLog()
2025-04-16 13:15:38.079 INFO  [19936] [InitLog@270] Process Path: C:\Program Files\WindowsApps\AD2F1837.OMENCommandCenter_1101.2502.7.0_x64__v10z8vjag6ke6\OmenCommandCenterApp\CefSharp.BrowserSubprocess.exe
2025-04-16 13:15:38.080 INFO  [19936] [QueryConfig@29] QueryConfig()
2025-04-16 13:15:38.080 INFO  [19936] [QueryConfig@45] filePath = C:\Users\medta\AppData\Local\Packages\AD2F1837.OMENCommandCenter_v10z8vjag6ke6\LocalCache\Local\OmenCameraConfig\ResolutionData.json
2025-04-16 13:15:38.097 INFO  [19936] [QueryConfig@58] Width = 1920
2025-04-16 13:15:38.097 INFO  [19936] [QueryConfig@59] Height = 1080
2025-04-16 13:15:38.097 INFO  [19936] [QueryConfig@60] Fps = 30
2025-04-16 13:15:38.097 INFO  [19936] [CVCam::CreateInstance@346] CVCam::CreateInstance()
2025-04-16 13:15:38.097 INFO  [19936] [CVCam::CVCam@355] CVCam::CVCam()
2025-04-16 13:15:38.097 INFO  [19936] [CVCamStream::CVCamStream@394] CVCamStream()
2025-04-16 13:15:38.097 INFO  [19936] [CVCamStream::GetMediaType@536] CVCamStream::GetMediaType(), iPosition = 4
2025-04-16 13:15:38.097 INFO  [19936] [CVCam::QueryInterface@371] CVCam::QueryInterface()
2025-04-16 13:15:38.097 INFO  [19936] [CVCamStream::QueryInterface@413] CVCamStream::QueryInterface()
2025-04-16 13:15:38.097 INFO  [19936] [CVCamStream::Get@827] CVCamStream::Get()
2025-04-16 13:15:38.097 INFO  [19936] [CVCamStream::QueryInterface@413] CVCamStream::QueryInterface()
2025-04-16 13:15:38.097 INFO  [19936] [CVCam::QueryInterface@371] CVCam::QueryInterface()
2025-04-16 13:15:38.097 INFO  [19936] [CVCamStream::GetNumberOfCapabilities@729] CVCamStream::GetNumberOfCapabilities()
2025-04-16 13:15:38.097 INFO  [19936] [CVCamStream::GetStreamCaps@738] CVCamStream::GetStreamCaps(), iIndex = 0
2025-04-16 13:15:38.097 INFO  [19936] [CVCam::~CVCam@366] CVCam::~CVCam()
2025-04-16 13:15:38.097 INFO  [19936] [CVCamStream::~CVCamStream@406] ~CVCamStream()
