2024-11-13 15:04:57.271 INFO  [3532] [InitLog@251] -------------------------------- create a new logger!
2024-11-13 15:04:57.272 INFO  [3532] [InitLog@252] processName = msedge
2024-11-13 15:04:57.272 INFO  [3532] [InitLog@269] -------------------------------- InitLog()
2024-11-13 15:04:57.272 INFO  [3532] [InitLog@270] Process Path: C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
2024-11-13 15:04:57.272 INFO  [3532] [QueryConfig@29] QueryConfig()
2024-11-13 15:04:57.272 INFO  [3532] [QueryConfig@45] filePath = C:\Users\medta\AppData\Local\Packages\AD2F1837.OMENCommandCenter_v10z8vjag6ke6\LocalCache\Local\OmenCameraConfig\ResolutionData.json
2024-11-13 15:04:57.272 INFO  [3532] [QueryConfig@58] Width = 640
2024-11-13 15:04:57.272 INFO  [3532] [QueryConfig@59] Height = 480
2024-11-13 15:04:57.272 INFO  [3532] [QueryConfig@60] Fps = 30
2024-11-13 15:04:57.272 INFO  [3532] [CVCam::CreateInstance@346] CVCam::CreateInstance()
2024-11-13 15:04:57.272 INFO  [3532] [CVCam::CVCam@355] CVCam::CVCam()
2024-11-13 15:04:57.272 INFO  [3532] [CVCamStream::CVCamStream@394] CVCamStream()
2024-11-13 15:04:57.272 INFO  [3532] [CVCamStream::GetMediaType@536] CVCamStream::GetMediaType(), iPosition = 4
2024-11-13 15:04:57.272 INFO  [3532] [CVCam::QueryInterface@371] CVCam::QueryInterface()
2024-11-13 15:04:57.272 INFO  [3532] [CVCamStream::QueryInterface@413] CVCamStream::QueryInterface()
2024-11-13 15:04:57.272 INFO  [3532] [CVCamStream::Get@827] CVCamStream::Get()
2024-11-13 15:04:57.273 INFO  [3532] [CVCamStream::QueryInterface@413] CVCamStream::QueryInterface()
2024-11-13 15:04:57.273 INFO  [3532] [CVCam::QueryInterface@371] CVCam::QueryInterface()
2024-11-13 15:04:57.273 INFO  [3532] [CVCamStream::GetNumberOfCapabilities@729] CVCamStream::GetNumberOfCapabilities()
2024-11-13 15:04:57.273 INFO  [3532] [CVCamStream::GetStreamCaps@738] CVCamStream::GetStreamCaps(), iIndex = 0
2024-11-13 15:04:57.273 INFO  [3532] [CVCam::~CVCam@366] CVCam::~CVCam()
2024-11-13 15:04:57.273 INFO  [3532] [CVCamStream::~CVCamStream@406] ~CVCamStream()
2024-11-22 19:50:11.545 INFO  [3356] [InitLog@251] -------------------------------- create a new logger!
2024-11-22 19:50:11.546 INFO  [3356] [InitLog@252] processName = msedge
2024-11-22 19:50:11.546 INFO  [3356] [InitLog@269] -------------------------------- InitLog()
2024-11-22 19:50:11.546 INFO  [3356] [InitLog@270] Process Path: C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
2024-11-22 19:50:11.546 INFO  [3356] [QueryConfig@29] QueryConfig()
2024-11-22 19:50:11.547 INFO  [3356] [QueryConfig@45] filePath = C:\Users\medta\AppData\Local\Packages\AD2F1837.OMENCommandCenter_v10z8vjag6ke6\LocalCache\Local\OmenCameraConfig\ResolutionData.json
2024-11-22 19:50:11.547 INFO  [3356] [QueryConfig@58] Width = 1920
2024-11-22 19:50:11.547 INFO  [3356] [QueryConfig@59] Height = 1080
2024-11-22 19:50:11.547 INFO  [3356] [QueryConfig@60] Fps = 30
2024-11-22 19:50:11.547 INFO  [3356] [CVCam::CreateInstance@346] CVCam::CreateInstance()
2024-11-22 19:50:11.547 INFO  [3356] [CVCam::CVCam@355] CVCam::CVCam()
2024-11-22 19:50:11.547 INFO  [3356] [CVCamStream::CVCamStream@394] CVCamStream()
2024-11-22 19:50:11.547 INFO  [3356] [CVCamStream::GetMediaType@536] CVCamStream::GetMediaType(), iPosition = 4
2024-11-22 19:50:11.547 INFO  [3356] [CVCam::QueryInterface@371] CVCam::QueryInterface()
2024-11-22 19:50:11.547 INFO  [3356] [CVCamStream::QueryInterface@413] CVCamStream::QueryInterface()
2024-11-22 19:50:11.547 INFO  [3356] [CVCamStream::Get@827] CVCamStream::Get()
2024-11-22 19:50:11.547 INFO  [3356] [CVCamStream::QueryInterface@413] CVCamStream::QueryInterface()
2024-11-22 19:50:11.547 INFO  [3356] [CVCam::QueryInterface@371] CVCam::QueryInterface()
2024-11-22 19:50:11.547 INFO  [3356] [CVCamStream::GetNumberOfCapabilities@729] CVCamStream::GetNumberOfCapabilities()
2024-11-22 19:50:11.547 INFO  [3356] [CVCamStream::GetStreamCaps@738] CVCamStream::GetStreamCaps(), iIndex = 0
2024-11-22 19:50:11.547 INFO  [3356] [CVCam::~CVCam@366] CVCam::~CVCam()
2024-11-22 19:50:11.547 INFO  [3356] [CVCamStream::~CVCamStream@406] ~CVCamStream()
2024-11-22 19:52:37.496 INFO  [21068] [InitLog@251] -------------------------------- create a new logger!
