2024-11-12 10:32:03.149 INFO  [13224] [InitLog@108] -------------------------------- create a new logger!
2024-11-12 10:32:03.151 INFO  [13224] [InitLog@109] processName = OmenCommandCenterBackground
2024-11-12 10:32:03.151 INFO  [13224] [InitLog@124] -------------------------------- InitLog(), version = 1101.2403.1.0
2024-11-12 10:32:03.151 INFO  [13224] [InitLog@125] Process Path: C:\Program Files\WindowsApps\AD2F1837.OMENCommandCenter_1101.2403.1.0_x64__v10z8vjag6ke6\OmenCommandCenterApp\OmenCommandCenterBackground.exe
2024-11-12 10:32:03.151 INFO  [13224] [CreatePipeServer@114] enter function: CreatePipeServer()
2024-11-12 10:32:03.151 INFO  [13224] [StartMainThread@546] enter function: StartMainThread()
2024-11-12 10:32:03.173 INFO  [13600] [CaptureThread@446] enter function: CaptureThread()
2024-11-12 10:32:03.173 INFO  [13600] [SharedMemory::Init@5] enter function: SharedMemory::Init()
2024-11-12 10:32:03.173 INFO  [13600] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2024-11-12 10:32:03.173 INFO  [13600] [ProcessCameraCommand@154] command: 16
2024-11-12 10:32:03.174 INFO  [13600] [ProcessCameraCommand@389] g_isStore = 1
2024-11-12 10:32:03.174 INFO  [13664] [PipeServerThread@104] enter function: PipeServerThread()
2024-11-12 10:32:03.174 INFO  [13664] [NamedPipeServer::Create@207] NamedPipeServer::Create()
2024-11-12 10:32:03.174 INFO  [13664] [NamedPipeServer::CreateAndConnectInstance@44] NamedPipeServer::CreateAndConnectInstance()
2024-11-12 10:32:03.174 INFO  [13664] [NamedPipeServer::CreateAndConnectInstance@51] pipeName: \\.\pipe\hpvirtualcamera_fte3
2024-11-12 10:32:03.174 INFO  [13664] [NamedPipeServer::ConnectToNewClient@81] NamedPipeServer::CreateAndConnectInstance()
2024-11-12 10:32:03.174 INFO  [13664] [NamedPipeServer::Create@233] WaitForSingleObjectEx()
2024-11-12 10:32:03.249 INFO  [13600] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2024-11-12 10:32:03.249 INFO  [13600] [ProcessCameraCommand@154] command: 11
2024-11-12 10:32:03.249 INFO  [13600] [ProcessCameraCommand@283] camCmdSetResolution: width = 640, height = 480, fps = 30
2024-11-12 10:32:03.296 INFO  [13600] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2024-11-12 10:32:03.296 INFO  [13600] [ProcessCameraCommand@154] command: 14
2024-11-12 10:32:03.296 INFO  [13600] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2024-11-12 10:32:03.296 INFO  [13600] [ProcessCameraCommand@154] command: 2
2024-11-12 10:32:03.296 INFO  [13600] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2024-11-12 10:32:03.296 INFO  [13600] [ProcessCameraCommand@154] command: 13
2024-11-12 10:42:20.421 INFO  [5924] [InitLog@108] -------------------------------- create a new logger!
2024-11-12 10:42:20.421 INFO  [5924] [InitLog@109] processName = OmenCommandCenterBackground
2024-11-12 10:42:20.422 INFO  [5924] [InitLog@124] -------------------------------- InitLog(), version = 1101.2403.1.0
2024-11-12 10:42:20.422 INFO  [5924] [InitLog@125] Process Path: C:\Program Files\WindowsApps\AD2F1837.OMENCommandCenter_1101.2403.1.0_x64__v10z8vjag6ke6\OmenCommandCenterApp\OmenCommandCenterBackground.exe
2024-11-12 10:42:20.422 INFO  [5924] [CreatePipeServer@114] enter function: CreatePipeServer()
2024-11-12 10:42:20.422 INFO  [5924] [StartMainThread@546] enter function: StartMainThread()
2024-11-12 10:42:20.422 INFO  [12704] [PipeServerThread@104] enter function: PipeServerThread()
2024-11-12 10:42:20.422 INFO  [12704] [NamedPipeServer::Create@207] NamedPipeServer::Create()
2024-11-12 10:42:20.422 INFO  [12704] [NamedPipeServer::CreateAndConnectInstance@44] NamedPipeServer::CreateAndConnectInstance()
