2025-12-04 23:45:18.108 INFO  [18068] [PipeServerThread@104] enter function: PipeServerThread()
2025-12-04 23:45:18.109 INFO  [18072] [SharedMemory::Init@5] enter function: SharedMemory::Init()
2025-12-04 23:45:18.114 INFO  [18068] [NamedPipeServer::Create@207] NamedPipeServer::Create()
2025-12-04 23:45:18.115 INFO  [18068] [NamedPipeServer::CreateAndConnectInstance@44] NamedPipeServer::CreateAndConnectInstance()
2025-12-04 23:45:18.115 INFO  [18068] [NamedPipeServer::CreateAndConnectInstance@51] pipeName: \\.\pipe\hpvirtualcamera_fte1
2025-12-04 23:45:18.115 INFO  [18068] [NamedPipeServer::ConnectToNewClient@81] NamedPipeServer::CreateAndConnectInstance()
2025-12-04 23:45:18.115 INFO  [18072] [CaptureThread@476] CreateMutex(mutex_getNvVfxLib_vcam)
2025-12-04 23:45:18.116 INFO  [18072] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2025-12-04 23:45:18.116 INFO  [18068] [NamedPipeServer::Create@233] WaitForSingleObjectEx()
2025-12-04 23:45:18.116 INFO  [18072] [ProcessCameraCommand@154] command: 16
2025-12-04 23:45:18.116 INFO  [18072] [ProcessCameraCommand@389] g_isStore = 1
2025-12-04 23:45:18.116 INFO  [18072] [CaptureThread@553] ReleaseMutex(mutex_getNvVfxLib_vcam)
2025-12-04 23:45:18.211 INFO  [18072] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2025-12-04 23:45:18.211 INFO  [18072] [ProcessCameraCommand@154] command: 11
2025-12-04 23:45:18.211 INFO  [18072] [ProcessCameraCommand@283] camCmdSetResolution: width = 1920, height = 1080, fps = 30
2025-12-04 23:45:18.243 INFO  [18072] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2025-12-04 23:45:18.243 INFO  [18072] [ProcessCameraCommand@154] command: 2
2025-12-04 23:45:18.244 INFO  [18072] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2025-12-04 23:45:18.244 INFO  [18072] [ProcessCameraCommand@154] command: 13
2025-12-04 23:50:53.905 INFO  [18072] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2025-12-04 23:50:53.905 INFO  [18072] [ProcessCameraCommand@154] command: 14
2025-12-04 23:50:53.905 INFO  [18072] [ProcessCameraCommand@356] Suspend: IsCameraOpen = 0, _isPreview = 0
2025-12-04 23:51:09.378 INFO  [18072] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2025-12-04 23:51:09.378 INFO  [18072] [ProcessCameraCommand@154] command: 14
2025-12-05 00:50:35.121 INFO  [18072] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2025-12-05 00:50:35.122 INFO  [18072] [ProcessCameraCommand@154] command: 14
2025-12-05 00:50:35.122 INFO  [18072] [ProcessCameraCommand@377] Resume: IsCameraOpen = 0, _isPreview = 0
2025-12-05 01:27:02.708 INFO  [18072] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2025-12-05 01:27:02.709 INFO  [18072] [ProcessCameraCommand@154] command: 14
2025-12-05 01:27:02.709 INFO  [18072] [ProcessCameraCommand@356] Suspend: IsCameraOpen = 0, _isPreview = 0
2025-12-05 01:27:04.715 INFO  [18072] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2025-12-05 01:27:04.715 INFO  [18072] [ProcessCameraCommand@154] command: 14
2025-12-05 01:27:04.715 INFO  [18072] [ProcessCameraCommand@377] Resume: IsCameraOpen = 0, _isPreview = 0
2025-12-05 02:29:42.160 INFO  [14224] [InitLog@123] -------------------------------- create a new logger!
2025-12-05 02:29:42.161 INFO  [14224] [InitLog@124] processName = OmenCommandCenterBackground
